"base","!","Pun","!","EXCLAMATION MARK"
"unicode-math","!","Pun","\exclam","EXCLAMATION MARK"
"base","#","Ord","\#","NUMBER SIGN"
"oz","#","Ord","\#","NUMBER SIGN"
"unicode-math","#","Ord","\octothorpe","NUMBER SIGN"
"base","$","Ord","\$","DOLLAR SIGN"
"base","$","Ord","\mathdollar","DOLLAR SIGN"
"unicode-math","$","Ord","\mathdollar","DOLLAR SIGN"
"base","%","Ord","\%","PERCENT SIGN"
"unicode-math","%","Ord","\percent","PERCENT SIGN"
"base","&","Ord","\&",""
"stmaryrd","&","Ord","\binampersand",""
"unicode-math","&","Ord","\ampersand",""
"base","(","Open","(","LEFT PARENTHESIS"
"unicode-math","(","Open","\lparen","LEFT PARENTHESIS"
"base",")","Close",")","RIGHT PARENTHESIS"
"unicode-math",")","Close","\rparen","RIGHT PARENTHESIS"
"base","*","Ord","*","(high) ASTERISK, star"
"base","*","Ord","\ast","(high) ASTERISK, star"
"base","+","Bin","+","PLUS SIGN"
"unicode-math","+","Bin","\plus","PLUS SIGN"
"base",",","Pun","","COMMA"
"unicode-math",",","Pun","\comma","COMMA"
"base","-","Bin","-","t -, HYPHEN-MINUS (deprecated for math)"
"base",".","Alpha",".","FULL STOP, period"
"unicode-math",".","Alpha","\period","FULL STOP, period"
"base","/","Ord","/","SOLIDUS"
"base","/","Ord","\slash","SOLIDUS"
"unicode-math","/","Ord","\mathslash","SOLIDUS"
"base","0","Ord","0","DIGIT ZERO"
"base","1","Ord","1","DIGIT ONE"
"base","2","Ord","2","DIGIT TWO"
"base","3","Ord","3","DIGIT THREE"
"base","4","Ord","4","DIGIT FOUR"
"base","5","Ord","5","DIGIT FIVE"
"base","6","Ord","6","DIGIT SIX"
"base","7","Ord","7","DIGIT SEVEN"
"base","8","Ord","8","DIGIT EIGHT"
"base","9","Ord","9","DIGIT NINE"
"base",":","Pun",":","COLON (not ratio)"
"literal",":","Pun","\colon","COLON (not ratio)"
"unicode-math",":","Pun","\mathcolon","COLON (not ratio)"
"base",";","Pun",";","SEMICOLON p:"
"unicode-math",";","Pun","\semicolon","SEMICOLON p:"
"base","<","Rel","<","LESS-THAN SIGN r:"
"unicode-math","<","Rel","\less","LESS-THAN SIGN r:"
"base","=","Rel","=","EQUALS SIGN r:"
"unicode-math","=","Rel","\equal","EQUALS SIGN r:"
"base",">","Rel",">","GREATER-THAN SIGN r:"
"unicode-math",">","Rel","\greater","GREATER-THAN SIGN r:"
"base","?","Ord","?","QUESTION MARK"
"unicode-math","?","Ord","\question","QUESTION MARK"
"base","@","Ord","@","at"
"unicode-math","@","Ord","\atsign","at"
"base","A","Alpha","A","LATIN CAPITAL LETTER A"
"base","A","Alpha","\mathrm{A}","LATIN CAPITAL LETTER A"
"base","B","Alpha","B","LATIN CAPITAL LETTER B"
"base","B","Alpha","\mathrm{B}","LATIN CAPITAL LETTER B"
"base","C","Alpha","C","LATIN CAPITAL LETTER C"
"base","C","Alpha","\mathrm{C}","LATIN CAPITAL LETTER C"
"base","D","Alpha","D","LATIN CAPITAL LETTER D"
"base","D","Alpha","\mathrm{D}","LATIN CAPITAL LETTER D"
"base","E","Alpha","E","LATIN CAPITAL LETTER E"
"base","E","Alpha","\mathrm{E}","LATIN CAPITAL LETTER E"
"base","F","Alpha","F","LATIN CAPITAL LETTER F"
"base","F","Alpha","\mathrm{F}","LATIN CAPITAL LETTER F"
"base","G","Alpha","G","LATIN CAPITAL LETTER G"
"base","G","Alpha","\mathrm{G}","LATIN CAPITAL LETTER G"
"base","H","Alpha","H","LATIN CAPITAL LETTER H"
"base","H","Alpha","\mathrm{H}","LATIN CAPITAL LETTER H"
"base","I","Alpha","I","LATIN CAPITAL LETTER I"
"base","I","Alpha","\mathrm{I}","LATIN CAPITAL LETTER I"
"base","J","Alpha","J","LATIN CAPITAL LETTER J"
"base","J","Alpha","\mathrm{J}","LATIN CAPITAL LETTER J"
"base","K","Alpha","K","LATIN CAPITAL LETTER K"
"base","K","Alpha","\mathrm{K}","LATIN CAPITAL LETTER K"
"base","L","Alpha","L","LATIN CAPITAL LETTER L"
"base","L","Alpha","\mathrm{L}","LATIN CAPITAL LETTER L"
"base","M","Alpha","M","LATIN CAPITAL LETTER M"
"base","M","Alpha","\mathrm{M}","LATIN CAPITAL LETTER M"
"base","N","Alpha","N","LATIN CAPITAL LETTER N"
"base","N","Alpha","\mathrm{N}","LATIN CAPITAL LETTER N"
"base","O","Alpha","O","LATIN CAPITAL LETTER O"
"base","O","Alpha","\mathrm{O}","LATIN CAPITAL LETTER O"
"base","P","Alpha","P","LATIN CAPITAL LETTER P"
"base","P","Alpha","\mathrm{P}","LATIN CAPITAL LETTER P"
"base","Q","Alpha","Q","LATIN CAPITAL LETTER Q"
"base","Q","Alpha","\mathrm{Q}","LATIN CAPITAL LETTER Q"
"base","R","Alpha","R","LATIN CAPITAL LETTER R"
"base","R","Alpha","\mathrm{R}","LATIN CAPITAL LETTER R"
"base","S","Alpha","S","LATIN CAPITAL LETTER S"
"base","S","Alpha","\mathrm{S}","LATIN CAPITAL LETTER S"
"base","T","Alpha","T","LATIN CAPITAL LETTER T"
"base","T","Alpha","\mathrm{T}","LATIN CAPITAL LETTER T"
"base","U","Alpha","U","LATIN CAPITAL LETTER U"
"base","U","Alpha","\mathrm{U}","LATIN CAPITAL LETTER U"
"base","V","Alpha","V","LATIN CAPITAL LETTER V"
"base","V","Alpha","\mathrm{V}","LATIN CAPITAL LETTER V"
"base","W","Alpha","W","LATIN CAPITAL LETTER W"
"base","W","Alpha","\mathrm{W}","LATIN CAPITAL LETTER W"
"base","X","Alpha","X","LATIN CAPITAL LETTER X"
"base","X","Alpha","\mathrm{X}","LATIN CAPITAL LETTER X"
"base","Y","Alpha","Y","LATIN CAPITAL LETTER Y"
"base","Y","Alpha","\mathrm{Y}","LATIN CAPITAL LETTER Y"
"base","Z","Alpha","Z","LATIN CAPITAL LETTER Z"
"base","Z","Alpha","\mathrm{Z}","LATIN CAPITAL LETTER Z"
"base","[","Open","\lbrack","LEFT SQUARE BRACKET"
"unicode-math","[","Open","\lbrack","LEFT SQUARE BRACKET"
"base","\","Ord","\backslash","REVERSE SOLIDUS"
"unicode-math","\","Ord","\backslash","REVERSE SOLIDUS"
"base","]","Close","\rbrack","RIGHT SQUARE BRACKET"
"unicode-math","]","Close","\rbrack","RIGHT SQUARE BRACKET"
"base","^","Ord","\hat{}","amsxtra^CIRCUMFLEX ACCENT, TeX superscript operator"
"unicode-math","^","Ord","\sphat","amsxtra^CIRCUMFLEX ACCENT, TeX superscript operator"
"base","_","Ord","\_","LOW LINE, TeX subscript operator"
"base","a","Alpha","a","LATIN SMALL LETTER A"
"base","a","Alpha","\mathrm{a}","LATIN SMALL LETTER A"
"base","b","Alpha","b","LATIN SMALL LETTER B"
"base","b","Alpha","\mathrm{b}","LATIN SMALL LETTER B"
"base","c","Alpha","c","LATIN SMALL LETTER C"
"base","c","Alpha","\mathrm{c}","LATIN SMALL LETTER C"
"base","d","Alpha","d","LATIN SMALL LETTER D"
"base","d","Alpha","\mathrm{d}","LATIN SMALL LETTER D"
"base","e","Alpha","e","LATIN SMALL LETTER E"
"base","e","Alpha","\mathrm{e}","LATIN SMALL LETTER E"
