"base_!","!"
"unicode-math_!","\exclam"
"base_#","\#"
"oz_#","\#"
"unicode-math_#","\octothorpe"
"base_$","\$"
"base_$","\mathdollar"
"unicode-math_$","\mathdollar"
"base_%","\%"
"unicode-math_%","\percent"
"base_&","\&"
"stmaryrd_&","\binampersand"
"unicode-math_&","\ampersand"
"base_(","("
"unicode-math_(","\lparen"
"base_)",")"
"unicode-math_)","\rparen"
"base_*","*"
"base_*","\ast"
"base_+","+"
"unicode-math_+","\plus"
"base_,",","
"unicode-math_,","\comma"
"base_-","-"
"base_.","."
"unicode-math_.","\period"
"base_/","/"
"base_/","\slash"
"unicode-math_/","\mathslash"
"base_0","0"
"base_1","1"
"base_2","2"
"base_3","3"
"base_4","4"
"base_5","5"
"base_6","6"
"base_7","7"
"base_8","8"
"base_9","9"
"base_:",":"
"literal_:","\colon"
"unicode-math_:","\mathcolon"
"base_;",";"
"unicode-math_;","\semicolon"
"base_<","<"
"unicode-math_<","\less"
"base_=","="
"unicode-math_=","\equal"
"base_>",">"
"unicode-math_>","\greater"
"base_?","?"
"unicode-math_?","\question"
"base_@","@"
"unicode-math_@","\atsign"
"base_A","A"
"base_A","\mathrm{A}"
"base_B","B"
"base_B","\mathrm{B}"
"base_C","C"
"base_C","\mathrm{C}"
"base_D","D"
"base_D","\mathrm{D}"
"base_E","E"
"base_E","\mathrm{E}"
"base_F","F"
"base_F","\mathrm{F}"
"base_G","G"
"base_G","\mathrm{G}"
"base_H","H"
"base_H","\mathrm{H}"
"base_I","I"
"base_I","\mathrm{I}"
"base_J","J"
"base_J","\mathrm{J}"
"base_K","K"
"base_K","\mathrm{K}"
"base_L","L"
"base_L","\mathrm{L}"
"base_M","M"
"base_M","\mathrm{M}"
"base_N","N"
"base_N","\mathrm{N}"
"base_O","O"
"base_O","\mathrm{O}"
"base_P","P"
"base_P","\mathrm{P}"
"base_Q","Q"
"base_Q","\mathrm{Q}"
"base_R","R"
"base_R","\mathrm{R}"
"base_S","S"
"base_S","\mathrm{S}"
"base_T","T"
"base_T","\mathrm{T}"
"base_U","U"
"base_U","\mathrm{U}"
"base_V","V"
"base_V","\mathrm{V}"
"base_W","W"
"base_W","\mathrm{W}"
"base_X","X"
"base_X","\mathrm{X}"
"base_Y","Y"
"base_Y","\mathrm{Y}"
"base_Z","Z"
"base_Z","\mathrm{Z}"
"base_[","\lbrack"
"unicode-math_[","\lbrack"
"base_\","\backslash"
"unicode-math_\","\backslash"
"base_]","\rbrack"
"unicode-math_]","\rbrack"
"base_^","\hat{}"
